esg_score,industry_rank,total_companies_on_industry,global_rank,total_companies_on_ms,last_esg_full_update_date,last_esg_update_date,industry_group,symbol,controversy_risk,management,exposure,sdgi,event,updated_on
7.1,1,618,45,14370,20241004_000000,20241004_000000,Utilities,PGEO.JK,0,Strong,Medium,[],[],20250811_054827
33.4,839,986,11124,14370,20250331_000000,20250331_000000,Banks,PNBN.JK,0,Weak,Medium,[],[],20250811_054829
29.7,243,299,9431,14370,20250306_000000,20250306_000000,Insurance,PNLF.JK,0,Weak,Medium,[],[],20250811_054830
27.9,250,618,8477,14370,20250716_000000,20250716_000000,Utilities,POWR.JK,0,Strong,High,[],[],20250811_054831
44.2,112,276,13612,14370,20250127_000000,20250718_000000,Oil & Gas Producers,PTBA.JK,0,Average,High,[],[],20250811_054833
35.2,108,330,11844,14370,20250529_000000,20250710_000000,Construction & Engineering,PTPP.JK,0,Average,High,[],[],20250811_054834
19.7,610,944,3692,14370,20250728_000000,20250728_000000,Real Estate,PWON.JK,0,Average,Low,[],[],20250811_054835
21.8,139,351,4868,14370,20250507_000000,20250507_000000,Transportation,RMKE.JK,0,Average,Low,[],[],20250811_054836
15.6,105,249,1723,14370,20241014_000000,20241014_000000,Media,SCMA.JK,0,Average,Low,[],[],20250811_054837
53.3,182,219,14198,14370,20230421_000000,20240427_000000,Diversified Metals,SGER.JK,0,Average,High,[],[],20250811_054838
21.6,103,847,4758,14370,20250624_000000,20250624_000000,Pharmaceuticals,SIDO.JK,0,Strong,Medium,[],[],20250811_054840
27.2,327,560,8062,14370,20241014_000000,20250701_000000,Healthcare,SILO.JK,0,Average,Medium,[],[],20250811_054841
20.5,111,351,4183,14370,20250716_000000,20250716_000000,Transportation,SMDR.JK,0,Average,Low,[],[],20250811_054842
25.3,17,120,6916,14370,20250327_000000,20250726_000000,Construction Materials,SMGR.JK,0,Strong,High,[],[],20250811_054844
52.5,195,276,14165,14370,20250117_000000,20250701_000000,Oil & Gas Producers,SMMT.JK,0,Average,High,[],[],20250811_054844
28.1,885,944,8589,14370,20240930_000000,20250617_000000,Real Estate,SMRA.JK,0,Weak,Medium,[],[],20250811_054845
19.6,74,241,3636,14370,20250127_000000,20250127_000000,Auto Components,SMSM.JK,0,Average,Medium,[],[],20250811_054849
27.3,408,759,8102,14370,20250529_000000,20250529_000000,Diversified Financials,SRTG.JK,0,Average,Medium,[],[],20250811_054850
40.9,195,330,13227,14370,20250326_000000,20250728_000000,Construction & Engineering,SSIA.JK,0,Average,High,[],[],20250811_054851
32.3,249,540,10645,14370,20250716_000000,20250716_000000,Food Products,SSMS.JK,0,Average,High,[],[],20250811_054852
45.9,501,540,13775,14370,20250619_000000,20250701_000000,Food Products,STAA.JK,0,Average,High,[],[],20250811_054853
39.8,425,540,13084,14370,20250529_000000,20250709_000000,Food Products,TAPG.JK,0,Average,High,[],[],20250811_054854
23.5,76,198,5806,14370,20241014_000000,20250801_000000,Telecommunication Services,TBIG.JK,0,Average,Medium,[],[],20250811_054854
47.3,511,540,13876,14370,20230510_000000,20240503_000000,Food Products,TBLA.JK,0,Weak,High,[],[],20250811_054855
25.0,213,351,6694,14370,20230830_000000,20240427_000000,Transportation,TCPI.JK,0,Average,Medium,[],[],20250811_054857
41.6,97,219,13322,14370,20250228_000000,20250715_000000,Diversified Metals,TINS.JK,0,Average,High,[],[],20250811_054858
30.4,59,71,9804,14370,20241014_000000,20250701_000000,Paper & Forestry,TKIM.JK,0,Average,Medium,[],[],20250811_054859
26.1,109,198,7372,14370,20250317_000000,20250715_000000,Telecommunication Services,TLKM.JK,0,Average,Medium,[],[],20250811_054900
24.2,88,198,6244,14370,20250317_000000,20250801_000000,Telecommunication Services,TOWR.JK,0,Average,Medium,[],[],20250811_054901
16.4,6,571,2056,14370,20250730_000000,20250730_000000,Chemicals,TPIA.JK,0,Strong,Medium,[],[],20250811_054902
36.1,340,351,12153,14370,20250409_000000,20250409_000000,Transportation,TRAM.JK,0,Weak,Medium,[],[],20250811_054903
38.0,389,540,12694,14370,20241014_000000,20250701_000000,Food Products,ULTJ.JK,0,Weak,Medium,[],[],20250811_054904
41.9,92,276,13365,14370,20250131_000000,20250701_000000,Oil & Gas Producers,UNTR.JK,0,Average,High,[],[],20250811_054905
18.2,5,101,2917,14370,20240502_000000,20240523_000000,Household Products,UNVR.JK,0,Strong,Medium,[],[],20250811_054906
34.3,89,330,11483,14370,20250526_000000,20250701_000000,Construction & Engineering,WIKA.JK,0,Strong,High,[],[],20250811_054907
