esg_score,industry_rank,total_companies_on_industry,global_rank,total_companies_on_ms,last_esg_full_update_date,last_esg_update_date,industry_group,symbol,controversy_risk,management,exposure,sdgi,event,updated_on
23.0,358,986,5477,14370,20250307_000000,20250530_000000,Banks,BNGA.JK,0,Average,Medium,[],[],20250811_054828
29.0,620,986,9052,14370,20250716_000000,20250716_000000,Banks,BNLI.JK,0,Average,Medium,[],[],20250811_054829
37.7,423,618,12630,14370,20250221_000000,20250701_000000,Utilities,BREN.JK,0,Average,High,[],[],20250811_054830
28.5,589,986,8773,14370,20250306_000000,20250306_000000,Banks,BRIS.JK,0,Average,Medium,[],[],20250811_054831
50.3,91,105,14056,14370,20250303_000000,20250701_000000,Precious Metals,BRMS.JK,0,Weak,High,[],[],20250811_054832
29.3,225,571,9251,14370,20250327_000000,20250701_000000,Chemicals,BRPT.JK,0,Average,Medium,[],[],20250811_054834
22.2,709,944,5072,14370,20250127_000000,20250127_000000,Real Estate,BSDE.JK,0,Average,Low,[],[],20250811_054835
32.5,793,986,10750,14370,20250307_000000,20250307_000000,Banks,BTPS.JK,0,Average,Medium,[],[],20250811_054836
25.4,382,442,6935,14370,20250710_000000,20250710_000000,Retailing,BUKA.JK,0,Average,Medium,[],[],20250811_054837
47.1,141,276,13868,14370,20250613_000000,20250701_000000,Oil & Gas Producers,BUMI.JK,0,Average,High,[],[],20250811_054839
51.2,182,276,14109,14370,20240906_000000,20250730_000000,Oil & Gas Producers,BYAN.JK,0,Average,High,[],[],20250811_054840
26.7,317,560,7789,14370,20250710_000000,20250710_000000,Healthcare,CARE.JK,0,Average,Medium,[],[],20250811_054841
37.6,741,759,12608,14370,20230329_000000,20230329_000000,Diversified Financials,CASA.JK,0,Weak,Medium,[],[],20250811_054842
36.5,69,120,12287,14370,20231220_000000,20240427_000000,Construction Materials,CMNT.JK,0,Average,High,[],[],20250811_054843
23.5,91,182,5802,14370,20250529_000000,20250606_000000,Food Retailers,CMRY.JK,0,Average,Low,[],[],20250811_054844
42.8,462,540,13484,14370,20241218_000000,20250701_000000,Food Products,CPIN.JK,0,Average,High,[],[],20250811_054845
24.2,781,944,6194,14370,20241014_000000,20241014_000000,Real Estate,CTRA.JK,0,Average,Low,[],[],20250811_054847
48.1,146,219,13936,14370,20240404_000000,20240404_000000,Diversified Metals,CUAN.JK,0,Average,High,[],[],20250811_054849
38.0,91,167,12710,14370,20241129_000000,20250701_000000,Refiners & Pipelines,ELSA.JK,0,Average,High,[],[],20250811_054850
14.2,73,249,1187,14370,20241014_000000,20241014_000000,Media,EMTK.JK,0,Average,Low,[],[],20250811_054851
31.6,22,276,10361,14370,20250716_000000,20250806_000000,Oil & Gas Producers,ENRG.JK,0,Strong,High,[],[],20250811_054852
14.9,147,613,1447,14370,20250716_000000,20250716_000000,Technology Hardware,ERAA.JK,0,Average,Low,[],[],20250811_054853
41.9,520,571,13364,14370,20250529_000000,20250701_000000,Chemicals,ESSA.JK,0,Average,High,[],[],20250811_054854
25.5,100,198,7014,14370,20250327_000000,20250701_000000,Telecommunication Services,EXCL.JK,0,Average,Medium,[],[],20250811_054855
15.9,111,249,1821,14370,20250716_000000,20250716_000000,Media,FILM.JK,0,Average,Low,[],[],20250811_054856
55.0,219,276,14250,14370,20250710_000000,20250710_000000,Oil & Gas Producers,FIRE.JK,0,Average,High,[],[],20250811_054857
44.7,483,540,13645,14370,20250321_000000,20250321_000000,Food Products,GGRM.JK,0,Weak,Medium,[],[],20250811_054858
28.1,191,241,8568,14370,20250303_000000,20250303_000000,Auto Components,GJTL.JK,0,Weak,Medium,[],[],20250811_054859
21.6,431,934,4773,14370,20250326_000000,20250717_000000,Software & Services,GOTO.JK,0,Average,Medium,[],[],20250811_054900
28.9,359,560,8973,14370,20250526_000000,20250526_000000,Healthcare,HEAL.JK,0,Average,Medium,[],[],20250811_054900
27.3,125,540,8122,14370,20240408_000000,20240523_000000,Food Products,HMSP.JK,0,Strong,Medium,[],[],20250811_054902
49.2,158,276,13991,14370,20250710_000000,20250710_000000,Oil & Gas Producers,HRUM.JK,0,Average,High,[],[],20250811_054902
33.0,276,540,10962,14370,20250321_000000,20250715_000000,Food Products,ICBP.JK,0,Average,High,[],[],20250811_054903
